Name,x,y
The Yoga Sanctuary,-79.38293,43.661988
Moksha Yoga Downtown,-79.4031162,43.6422878
Yoga Tree Bay & Dundas,-79.384481,43.655337
Yogatree Richmond and Spadina,-79.396487,43.6475709
Iam Yoga Downtown,-79.3878634,43.6458523
YYoga Queen Street West,-79.3920207,43.6495553
YYoga Harbourfront,-79.3891186,43.6386709
Downward Dog Yoga Centre,-79.406796,43.6465169
BeHot Yoga Toronto,-79.375104,43.648881
Lotus Yoga Centre,-79.403397,43.662933
Octopus Garden Yoga Centre,-79.4271251,43.6533406
Breathe Yoga + Wellness Centre,-79.4683162,43.6656705
Moksha Yoga St Clair West,-79.435083,43.679968
Union Yoga + Wellness,-79.4285371,43.6615177
The House of Yoga,-79.4181628,43.6636854
Yoga Grove - Small Classes. Big Difference.,-79.487259,43.6558
Moksha Yoga Bloor West,-79.4850703,43.648597
High Times Toronto,-79.4180127,43.6639008
Mosaic Yoga Toronto,-79.446186,43.655854
Yogaspace,-79.4202089,43.6475849
YogaFit® Canada,-79.339155,43.680208
889 Community,-79.3882357,43.6745066
Ashtanga Yoga Centre of Toronto,-79.4028578,43.7281763
Yoga Centre Toronto,-79.3992908,43.7103332
Yoga Tree Yonge & Eglinton,-79.3971159,43.7073399
Spynga | cycle yoga strength,-79.412545,43.703604
Moksha Yoga Uptown,-79.394502,43.688664
Beach Yoga Centre,-79.3004107,43.6697443
Bikram Yoga Beaches,-79.3043461,43.6687183
Toronto Yoga Mamas Inc,-79.3242665,43.6648517
The Flying Yogi,-79.340835,43.6635941
Chi Junky Yoga Studio,-79.3452677,43.6589996
Spirit Loft Movement Centre,-79.3412543,43.6635945
The Yoga Sanctuary Danforth,-79.358458,43.676089
Moksha Yoga Danforth,-79.3522401,43.6776321
Connect Yoga Toronto,-79.346606,43.678745
Guildwood Yoga Studio,-79.207605,43.7474656
Satya Yoga,-79.2108845,43.7483723
Mindful Mobility Yoga at Active Care Centre,-79.233153,43.777352
Nithyananda Meditation Academy,-79.2390722,43.7761585
lululemon,-79.258064,43.7762069
Amor Healthy Lifestyle,-79.2387272,43.7789429
Insudhar Yoga Studio,-79.2409193,43.7888831
Art of Living Scarborough - Yoga and Meditation Centre,-79.2347826,43.7912675
Yoga Meditation Practice Centre,-79.237585,43.7922644
In The Spirit Yoga Studio & Wine Lounge,-79.1700799,43.7838866
Yoga @ Bungalow 8,-79.3039681,43.7046077
Redwood Hot Yoga Studio,-79.313779,43.705417
Yoga House The,-79.3164067,43.6811528
YOGA YOGA EAST,-79.2713415,43.6885174
Power Yoga Canada Leaside,-79.361241,43.705688
ONE TIGER YOGA,-79.3514284,43.7054135
Motiv Fitness & Pilates,-79.340499,43.679971
FitZone-Plus,-79.3498559,43.6776708
Feel good cafe and yoga,-79.315573,43.6915431
Laya Spa and Yoga,-79.418123,43.644448
Pure Yoga Toronto,-79.4237171,43.6373472
"osha osha - paddle boarding, tours & yoga",-79.449787,43.637039
Yoga Star Wellness,-79.4461149,43.6392541
MuseMovement,-79.4175814,43.646893
Studio Blue Yoga & Fitness,-79.4305019,43.6494453
Gyan Yoga,-79.4339299,43.6496559
Yoga Village,-79.4491726,43.6455628
Om At Home Yoga/Courtney Sunday,-79.4468399,43.6469517
YOGAthletix,-79.357131,43.656063
Float Suspension Yoga,-79.3731637,43.6560518
lululemon,-79.3806781,43.6530081
Prashanta Yoga,-79.3781206,43.7019931
Yopila Yoga,-79.366028,43.704395
Big Stretch Yoga Ctr,-79.3751711,43.7052531
Oxygen Yoga and Fitness Midtown,-79.4114026,43.7041295
Fireflow Yoga,-79.4230046,43.6676015
Yoga Yoga: a studio,-79.4502211,43.6653769
Kula Yoga Studio,-79.4077453,43.6656757
Village Yoga Studio & Healing Therapies,-79.4124019,43.6886049
YogaBuds,-79.4314669,43.6971905
Yoga Goddess Fertility Yoga,-79.4195972,43.7020202
Continuum Wellness - Massage Therapy and Natural Health Clinic,-79.4046454,43.7330369
Zenergy Yoga,-79.3066794,43.7360723
Fore! Yoga,-79.2809916,43.7362514
Reach Yoga,-79.3266481,43.7440939
Power Yoga Canada,-79.520687,43.6365102
Moksha Yoga,-79.5197116,43.6228048
Bliss Yoga Studio,-79.5102681,43.6477529
Infinite Yoga,-79.6292708,43.625834
